id,timestamp,platform,user,content,simulated_sentiment,analyzed_sentiment
raw_0000,2025-05-15 20:00:00,Twitter,crypto_user_790,Checking out the new HashKey update. #HKWeb3 #Crypto,0.0,0.0
raw_0001,2025-05-29 15:00:00,Telegram,crypto_user_528,HK's regulatory framework is leading the way. HashKey is the gold standard.,0.27,0.27
raw_0002,2025-05-11 17:00:00,Telegram,crypto_user_664,No USDT pairs? This is so restrictive for active traders.,-0.39,-0.39
raw_0003,2025-05-27 08:00:00,LIHKG,crypto_user_520,"HashKey's UI is so clean, finally a licensed exchange that feels premium! #HashKey",0.35,0.35
raw_0004,2025-05-22 05:00:00,Twitter,crypto_user_362,Excited for Bitcoin Pizza Day 2026! Can't wait to see what HashKey has planned.,0.67,0.67
raw_0005,2025-05-01 01:00:00,Twitter,crypto_user_889,Bitcoin Pizza Day is coming. May 22 is a big day for crypto history.,-0.0,-0.0
raw_0006,2025-05-20 04:00:00,LIHKG,crypto_user_879,Just finished my KYC on HashKey. Super fast and professional. Secure trading is the way.,0.47,0.47
raw_0007,2025-05-02 03:00:00,Twitter,crypto_user_840,Bitcoin Pizza Day is coming. May 22 is a big day for crypto history.,-0.09,-0.09
raw_0008,2025-05-02 09:00:00,LIHKG,crypto_user_114,"HashKey's UI is so clean, finally a licensed exchange that feels premium! #HashKey",0.54,0.54
raw_0009,2025-05-24 14:00:00,Twitter,crypto_user_172,High fees on licensed exchanges compared to DEXs. Why bother?,-0.33,-0.33
raw_0010,2025-05-10 23:00:00,LIHKG,crypto_user_508,"HashKey's UI is so clean, finally a licensed exchange that feels premium! #HashKey",0.36,0.36
raw_0011,2025-05-07 21:00:00,Twitter,crypto_user_312,No USDT pairs? This is so restrictive for active traders.,-0.77,-0.77
raw_0012,2025-05-12 13:00:00,Twitter,crypto_user_959,SFC's new guidelines on VATP are out. Interesting developments.,-0.08,-0.08
raw_0013,2025-05-04 18:00:00,Telegram,crypto_user_227,Bitcoin price holding steady at $100k. #BTC,0.05,0.05
raw_0014,2025-05-21 18:00:00,Telegram,crypto_user_195,"HashKey's UI is so clean, finally a licensed exchange that feels premium! #HashKey",0.7,0.7
raw_0015,2025-05-24 16:00:00,Telegram,crypto_user_190,HK's regulatory framework is leading the way. HashKey is the gold standard.,0.22,0.22
raw_0016,2025-05-18 01:00:00,Twitter,crypto_user_141,Anyone using HashKey for institutional custody? Looking for reviews.,-0.04,-0.04
raw_0017,2025-05-05 19:00:00,LIHKG,crypto_user_680,"HashKey's UI is so clean, finally a licensed exchange that feels premium! #HashKey",0.64,0.64
raw_0018,2025-05-12 17:00:00,Telegram,crypto_user_784,Bitcoin Pizza Day is coming. May 22 is a big day for crypto history.,0.08,0.08
raw_0019,2025-05-09 23:00:00,Telegram,crypto_user_593,Bitcoin price holding steady at $100k. #BTC,0.05,0.05
raw_0020,2025-05-20 17:00:00,Telegram,crypto_user_883,Withdrawal took longer than expected. Still better than nothing I guess.,-0.69,-0.69
raw_0021,2025-05-23 21:00:00,LIHKG,crypto_user_559,HK's regulatory framework is leading the way. HashKey is the gold standard.,0.26,0.26
raw_0022,2025-05-21 03:00:00,Twitter,crypto_user_331,Strict KYC is such a pain. I miss the offshore days. #HashKey #Crypto,-0.39,-0.39
raw_0023,2025-05-22 19:00:00,LIHKG,crypto_user_530,Just finished my KYC on HashKey. Super fast and professional. Secure trading is the way.,0.63,0.63
raw_0024,2025-05-08 06:00:00,Telegram,crypto_user_395,The safest place to hold BTC in HK. Compliance matters after FTX. #HKWeb3,0.73,0.73
raw_0025,2025-05-14 10:00:00,Twitter,crypto_user_959,HashKey vs OSL - which one has better liquidity?,0.03,0.03
raw_0026,2025-05-26 09:00:00,Twitter,crypto_user_737,Checking out the new HashKey update. #HKWeb3 #Crypto,-0.09,-0.09
raw_0027,2025-05-12 20:00:00,LIHKG,crypto_user_472,Excited for Bitcoin Pizza Day 2026! Can't wait to see what HashKey has planned.,0.28,0.28
raw_0028,2025-05-01 05:00:00,Telegram,crypto_user_819,Just finished my KYC on HashKey. Super fast and professional. Secure trading is the way.,0.13,0.13
raw_0029,2025-05-24 08:00:00,Telegram,crypto_user_502,Anyone using HashKey for institutional custody? Looking for reviews.,-0.04,-0.04
raw_0030,2025-05-10 14:00:00,LIHKG,crypto_user_341,Bitcoin price holding steady at $100k. #BTC,0.01,0.01
raw_0031,2025-05-17 02:00:00,Twitter,crypto_user_653,Withdrawal took longer than expected. Still better than nothing I guess.,-0.58,-0.58
raw_0032,2025-05-26 17:00:00,Telegram,crypto_user_850,HashKey's fiat on-ramp is a lifesaver. Direct bank transfer is so much better than C2C.,0.63,0.63
raw_0033,2025-05-03 22:00:00,LIHKG,crypto_user_871,"HashKey's UI is so clean, finally a licensed exchange that feels premium! #HashKey",0.71,0.71
raw_0034,2025-05-24 18:00:00,LIHKG,crypto_user_194,Just finished my KYC on HashKey. Super fast and professional. Secure trading is the way.,0.13,0.13
raw_0035,2025-05-11 00:00:00,Telegram,crypto_user_600,SFC's new guidelines on VATP are out. Interesting developments.,-0.02,-0.02
raw_0036,2025-05-27 16:00:00,Telegram,crypto_user_205,The safest place to hold BTC in HK. Compliance matters after FTX. #HKWeb3,0.13,0.13
raw_0037,2025-05-29 15:00:00,Telegram,crypto_user_770,Checking out the new HashKey update. #HKWeb3 #Crypto,0.02,0.02
raw_0038,2025-05-24 23:00:00,Telegram,crypto_user_955,Bitcoin price holding steady at $100k. #BTC,-0.0,-0.0
raw_0039,2025-05-18 14:00:00,Twitter,crypto_user_793,Excited for Bitcoin Pizza Day 2026! Can't wait to see what HashKey has planned.,0.7,0.7
raw_0040,2025-05-25 06:00:00,Telegram,crypto_user_610,Anyone using HashKey for institutional custody? Looking for reviews.,-0.0,-0.0
raw_0041,2025-05-06 05:00:00,Telegram,crypto_user_221,HK's regulatory framework is leading the way. HashKey is the gold standard.,0.42,0.42
raw_0042,2025-05-23 22:00:00,Twitter,crypto_user_204,Just finished my KYC on HashKey. Super fast and professional. Secure trading is the way.,0.39,0.39
raw_0043,2025-05-05 20:00:00,LIHKG,crypto_user_550,Checking out the new HashKey update. #HKWeb3 #Crypto,0.03,0.03
raw_0044,2025-05-11 12:00:00,LIHKG,crypto_user_609,Bitcoin Pizza Day is coming. May 22 is a big day for crypto history.,-0.06,-0.06
raw_0045,2025-05-24 08:00:00,Telegram,crypto_user_132,SFC's new guidelines on VATP are out. Interesting developments.,0.06,0.06
raw_0046,2025-05-06 20:00:00,Telegram,crypto_user_148,Strict KYC is such a pain. I miss the offshore days. #HashKey #Crypto,-0.79,-0.79
raw_0047,2025-05-16 18:00:00,LIHKG,crypto_user_867,Anyone using HashKey for institutional custody? Looking for reviews.,0.06,0.06
raw_0048,2025-05-26 23:00:00,LIHKG,crypto_user_723,The safest place to hold BTC in HK. Compliance matters after FTX. #HKWeb3,0.69,0.69
raw_0049,2025-05-05 09:00:00,LIHKG,crypto_user_896,Just finished my KYC on HashKey. Super fast and professional. Secure trading is the way.,0.31,0.31
raw_0050,2025-05-26 08:00:00,LIHKG,crypto_user_378,Bitcoin Pizza Day is coming. May 22 is a big day for crypto history.,-0.06,-0.06
raw_0051,2025-05-26 03:00:00,Twitter,crypto_user_400,HashKey vs OSL - which one has better liquidity?,-0.08,-0.08
raw_0052,2025-05-26 18:00:00,Telegram,crypto_user_634,Just finished my KYC on HashKey. Super fast and professional. Secure trading is the way.,0.74,0.74
raw_0053,2025-05-16 07:00:00,Twitter,crypto_user_804,Excited for Bitcoin Pizza Day 2026! Can't wait to see what HashKey has planned.,0.77,0.77
raw_0054,2025-05-25 16:00:00,Twitter,crypto_user_520,HK's regulatory framework is leading the way. HashKey is the gold standard.,0.24,0.24
raw_0055,2025-05-21 08:00:00,Twitter,crypto_user_128,No USDT pairs? This is so restrictive for active traders.,-0.8,-0.8
raw_0056,2025-05-03 07:00:00,LIHKG,crypto_user_931,Withdrawal took longer than expected. Still better than nothing I guess.,-0.51,-0.51
raw_0057,2025-05-18 20:00:00,Twitter,crypto_user_517,Excited for Bitcoin Pizza Day 2026! Can't wait to see what HashKey has planned.,0.29,0.29
raw_0058,2025-05-17 23:00:00,Twitter,crypto_user_363,Bitcoin Pizza Day is coming. May 22 is a big day for crypto history.,-0.03,-0.03
raw_0059,2025-05-28 22:00:00,Telegram,crypto_user_573,HashKey vs OSL - which one has better liquidity?,-0.05,-0.05
raw_0060,2025-05-11 17:00:00,LIHKG,crypto_user_766,HK's regulatory framework is leading the way. HashKey is the gold standard.,0.19,0.19
raw_0061,2025-05-07 03:00:00,LIHKG,crypto_user_894,Withdrawal took longer than expected. Still better than nothing I guess.,-0.62,-0.62
raw_0062,2025-05-19 07:00:00,LIHKG,crypto_user_919,High fees on licensed exchanges compared to DEXs. Why bother?,-0.36,-0.36
raw_0063,2025-05-01 08:00:00,Telegram,crypto_user_604,Just finished my KYC on HashKey. Super fast and professional. Secure trading is the way.,0.68,0.68
raw_0064,2025-05-16 17:00:00,LIHKG,crypto_user_133,The safest place to hold BTC in HK. Compliance matters after FTX. #HKWeb3,0.32,0.32
raw_0065,2025-05-07 20:00:00,Twitter,crypto_user_980,High fees on licensed exchanges compared to DEXs. Why bother?,-0.72,-0.72
raw_0066,2025-05-30 22:00:00,Telegram,crypto_user_652,The safest place to hold BTC in HK. Compliance matters after FTX. #HKWeb3,0.32,0.32
raw_0067,2025-05-18 05:00:00,LIHKG,crypto_user_720,Excited for Bitcoin Pizza Day 2026! Can't wait to see what HashKey has planned.,0.24,0.24
raw_0068,2025-05-23 08:00:00,Telegram,crypto_user_891,The 'Professional Investor' requirement is so elitist. What about retail? #HKWeb3,-0.16,-0.16
raw_0069,2025-05-18 11:00:00,Telegram,crypto_user_984,High fees on licensed exchanges compared to DEXs. Why bother?,-0.3,-0.3
raw_0070,2025-05-05 06:00:00,Twitter,crypto_user_186,"Why is HashKey so boring? No memecoins, no leverage... just plain tokens. #Degen",-0.57,-0.57
raw_0071,2025-05-28 14:00:00,Telegram,crypto_user_300,Bitcoin price holding steady at $100k. #BTC,-0.09,-0.09
raw_0072,2025-05-07 23:00:00,LIHKG,crypto_user_183,Withdrawal took longer than expected. Still better than nothing I guess.,-0.48,-0.48
raw_0073,2025-05-09 02:00:00,Telegram,crypto_user_837,Anyone using HashKey for institutional custody? Looking for reviews.,-0.07,-0.07
raw_0074,2025-05-27 21:00:00,LIHKG,crypto_user_970,Strict KYC is such a pain. I miss the offshore days. #HashKey #Crypto,-0.34,-0.34
raw_0075,2025-05-29 20:00:00,LIHKG,crypto_user_609,"HashKey's UI is so clean, finally a licensed exchange that feels premium! #HashKey",0.13,0.13
raw_0076,2025-05-30 18:00:00,Telegram,crypto_user_354,High fees on licensed exchanges compared to DEXs. Why bother?,-0.62,-0.62
raw_0077,2025-05-03 03:00:00,LIHKG,crypto_user_965,Strict KYC is such a pain. I miss the offshore days. #HashKey #Crypto,-0.46,-0.46
raw_0078,2025-05-15 22:00:00,Twitter,crypto_user_709,High fees on licensed exchanges compared to DEXs. Why bother?,-0.43,-0.43
raw_0079,2025-05-30 22:00:00,Telegram,crypto_user_737,Excited for Bitcoin Pizza Day 2026! Can't wait to see what HashKey has planned.,0.66,0.66
raw_0080,2025-05-30 17:00:00,Telegram,crypto_user_515,Bitcoin Pizza Day is coming. May 22 is a big day for crypto history.,-0.09,-0.09
raw_0081,2025-05-20 07:00:00,Twitter,crypto_user_825,Just finished my KYC on HashKey. Super fast and professional. Secure trading is the way.,0.68,0.68
raw_0082,2025-05-24 06:00:00,Twitter,crypto_user_794,Anyone using HashKey for institutional custody? Looking for reviews.,0.03,0.03
raw_0083,2025-05-21 01:00:00,LIHKG,crypto_user_917,Bitcoin Pizza Day is coming. May 22 is a big day for crypto history.,-0.05,-0.05
raw_0084,2025-05-07 13:00:00,Twitter,crypto_user_995,No USDT pairs? This is so restrictive for active traders.,-0.65,-0.65
raw_0085,2025-05-22 17:00:00,Twitter,crypto_user_756,Excited for Bitcoin Pizza Day 2026! Can't wait to see what HashKey has planned.,0.6,0.6
raw_0086,2025-05-27 16:00:00,Twitter,crypto_user_886,Bitcoin price holding steady at $100k. #BTC,-0.02,-0.02
raw_0087,2025-05-27 09:00:00,Twitter,crypto_user_599,The safest place to hold BTC in HK. Compliance matters after FTX. #HKWeb3,0.49,0.49
raw_0088,2025-05-18 07:00:00,Telegram,crypto_user_465,Bitcoin Pizza Day is coming. May 22 is a big day for crypto history.,0.05,0.05
raw_0089,2025-05-09 19:00:00,LIHKG,crypto_user_306,"Why is HashKey so boring? No memecoins, no leverage... just plain tokens. #Degen",-0.12,-0.12
raw_0090,2025-05-07 05:00:00,Telegram,crypto_user_409,HashKey's fiat on-ramp is a lifesaver. Direct bank transfer is so much better than C2C.,0.14,0.14
raw_0091,2025-05-06 04:00:00,LIHKG,crypto_user_578,SFC's new guidelines on VATP are out. Interesting developments.,-0.05,-0.05
raw_0092,2025-05-02 23:00:00,Telegram,crypto_user_864,Excited for Bitcoin Pizza Day 2026! Can't wait to see what HashKey has planned.,0.46,0.46
raw_0093,2025-05-23 11:00:00,Twitter,crypto_user_641,High fees on licensed exchanges compared to DEXs. Why bother?,-0.67,-0.67
raw_0094,2025-05-01 08:00:00,Twitter,crypto_user_111,Checking out the new HashKey update. #HKWeb3 #Crypto,0.01,0.01
raw_0095,2025-05-29 03:00:00,Telegram,crypto_user_768,High fees on licensed exchanges compared to DEXs. Why bother?,-0.4,-0.4
raw_0096,2025-05-08 09:00:00,LIHKG,crypto_user_185,"HashKey's UI is so clean, finally a licensed exchange that feels premium! #HashKey",0.64,0.64
raw_0097,2025-05-17 10:00:00,LIHKG,crypto_user_360,"Why is HashKey so boring? No memecoins, no leverage... just plain tokens. #Degen",-0.37,-0.37
raw_0098,2025-05-03 06:00:00,LIHKG,crypto_user_371,The safest place to hold BTC in HK. Compliance matters after FTX. #HKWeb3,0.66,0.66
raw_0099,2025-05-17 18:00:00,Telegram,crypto_user_843,Excited for Bitcoin Pizza Day 2026! Can't wait to see what HashKey has planned.,0.49,0.49
raw_0100,2025-05-07 01:00:00,LIHKG,crypto_user_833,The 'Professional Investor' requirement is so elitist. What about retail? #HKWeb3,-0.79,-0.79
raw_0101,2025-05-23 23:00:00,Telegram,crypto_user_162,Bitcoin Pizza Day is coming. May 22 is a big day for crypto history.,0.04,0.04
raw_0102,2025-05-22 18:00:00,LIHKG,crypto_user_497,High fees on licensed exchanges compared to DEXs. Why bother?,-0.27,-0.27
raw_0103,2025-05-01 13:00:00,Twitter,crypto_user_705,Just finished my KYC on HashKey. Super fast and professional. Secure trading is the way.,0.23,0.23
raw_0104,2025-05-15 01:00:00,LIHKG,crypto_user_262,The safest place to hold BTC in HK. Compliance matters after FTX. #HKWeb3,0.26,0.26
raw_0105,2025-05-24 13:00:00,Telegram,crypto_user_722,"Why is HashKey so boring? No memecoins, no leverage... just plain tokens. #Degen",-0.44,-0.44
raw_0106,2025-05-22 19:00:00,LIHKG,crypto_user_246,Excited for Bitcoin Pizza Day 2026! Can't wait to see what HashKey has planned.,0.63,0.63
raw_0107,2025-05-07 21:00:00,Telegram,crypto_user_690,SFC's new guidelines on VATP are out. Interesting developments.,0.01,0.01
raw_0108,2025-05-17 17:00:00,Telegram,crypto_user_829,HashKey vs OSL - which one has better liquidity?,0.03,0.03
raw_0109,2025-05-17 16:00:00,LIHKG,crypto_user_858,HK's regulatory framework is leading the way. HashKey is the gold standard.,0.7,0.7
raw_0110,2025-05-26 16:00:00,Telegram,crypto_user_149,Excited for Bitcoin Pizza Day 2026! Can't wait to see what HashKey has planned.,0.56,0.56
raw_0111,2025-05-01 00:00:00,Telegram,crypto_user_286,Checking out the new HashKey update. #HKWeb3 #Crypto,-0.06,-0.06
raw_0112,2025-05-22 14:00:00,Telegram,crypto_user_496,SFC's new guidelines on VATP are out. Interesting developments.,-0.08,-0.08
raw_0113,2025-05-02 19:00:00,Telegram,crypto_user_934,"HashKey's UI is so clean, finally a licensed exchange that feels premium! #HashKey",0.53,0.53
raw_0114,2025-05-12 02:00:00,LIHKG,crypto_user_361,HK's regulatory framework is leading the way. HashKey is the gold standard.,0.31,0.31
raw_0115,2025-05-22 15:00:00,Twitter,crypto_user_723,Bitcoin price holding steady at $100k. #BTC,-0.06,-0.06
raw_0116,2025-05-14 08:00:00,Twitter,crypto_user_368,"Why is HashKey so boring? No memecoins, no leverage... just plain tokens. #Degen",-0.34,-0.34
raw_0117,2025-05-06 16:00:00,LIHKG,crypto_user_504,Bitcoin price holding steady at $100k. #BTC,0.07,0.07
raw_0118,2025-05-29 10:00:00,Telegram,crypto_user_272,High fees on licensed exchanges compared to DEXs. Why bother?,-0.15,-0.15
raw_0119,2025-05-17 04:00:00,Telegram,crypto_user_343,Anyone using HashKey for institutional custody? Looking for reviews.,-0.08,-0.08
raw_0120,2025-05-26 00:00:00,Telegram,crypto_user_692,Strict KYC is such a pain. I miss the offshore days. #HashKey #Crypto,-0.41,-0.41
raw_0121,2025-05-16 10:00:00,Telegram,crypto_user_316,SFC's new guidelines on VATP are out. Interesting developments.,-0.09,-0.09
raw_0122,2025-05-12 03:00:00,LIHKG,crypto_user_863,SFC's new guidelines on VATP are out. Interesting developments.,-0.07,-0.07
raw_0123,2025-05-18 11:00:00,LIHKG,crypto_user_929,"Why is HashKey so boring? No memecoins, no leverage... just plain tokens. #Degen",-0.16,-0.16
raw_0124,2025-05-01 05:00:00,LIHKG,crypto_user_412,No USDT pairs? This is so restrictive for active traders.,-0.33,-0.33
raw_0125,2025-05-08 07:00:00,Twitter,crypto_user_228,The safest place to hold BTC in HK. Compliance matters after FTX. #HKWeb3,0.23,0.23
raw_0126,2025-05-26 09:00:00,Twitter,crypto_user_970,No USDT pairs? This is so restrictive for active traders.,-0.4,-0.4
raw_0127,2025-05-11 17:00:00,Telegram,crypto_user_913,Excited for Bitcoin Pizza Day 2026! Can't wait to see what HashKey has planned.,0.62,0.62
raw_0128,2025-05-31 12:00:00,Telegram,crypto_user_732,Excited for Bitcoin Pizza Day 2026! Can't wait to see what HashKey has planned.,0.41,0.41
raw_0129,2025-05-31 23:00:00,Twitter,crypto_user_252,"HashKey's UI is so clean, finally a licensed exchange that feels premium! #HashKey",0.41,0.41
raw_0130,2025-05-16 23:00:00,Twitter,crypto_user_545,HashKey vs OSL - which one has better liquidity?,-0.04,-0.04
raw_0131,2025-05-06 01:00:00,LIHKG,crypto_user_807,Excited for Bitcoin Pizza Day 2026! Can't wait to see what HashKey has planned.,0.59,0.59
raw_0132,2025-05-06 10:00:00,LIHKG,crypto_user_862,The safest place to hold BTC in HK. Compliance matters after FTX. #HKWeb3,0.77,0.77
raw_0133,2025-05-05 01:00:00,Twitter,crypto_user_498,Anyone using HashKey for institutional custody? Looking for reviews.,-0.05,-0.05
raw_0134,2025-05-29 23:00:00,Twitter,crypto_user_173,"Why is HashKey so boring? No memecoins, no leverage... just plain tokens. #Degen",-0.51,-0.51
raw_0135,2025-05-27 07:00:00,Telegram,crypto_user_519,Bitcoin price holding steady at $100k. #BTC,-0.1,-0.1
raw_0136,2025-05-15 15:00:00,LIHKG,crypto_user_149,"HashKey's UI is so clean, finally a licensed exchange that feels premium! #HashKey",0.43,0.43
raw_0137,2025-05-31 10:00:00,Twitter,crypto_user_114,Anyone using HashKey for institutional custody? Looking for reviews.,-0.01,-0.01
raw_0138,2025-05-23 20:00:00,Telegram,crypto_user_602,Bitcoin price holding steady at $100k. #BTC,-0.08,-0.08
raw_0139,2025-05-22 05:00:00,Twitter,crypto_user_516,HK's regulatory framework is leading the way. HashKey is the gold standard.,0.35,0.35
raw_0140,2025-05-26 08:00:00,Telegram,crypto_user_443,Excited for Bitcoin Pizza Day 2026! Can't wait to see what HashKey has planned.,0.31,0.31
raw_0141,2025-05-29 20:00:00,Twitter,crypto_user_650,High fees on licensed exchanges compared to DEXs. Why bother?,-0.79,-0.79
raw_0142,2025-05-23 13:00:00,LIHKG,crypto_user_922,Checking out the new HashKey update. #HKWeb3 #Crypto,0.04,0.04
raw_0143,2025-05-24 18:00:00,Twitter,crypto_user_395,"Why is HashKey so boring? No memecoins, no leverage... just plain tokens. #Degen",-0.37,-0.37
raw_0144,2025-05-22 09:00:00,LIHKG,crypto_user_325,Anyone using HashKey for institutional custody? Looking for reviews.,-0.04,-0.04
raw_0145,2025-05-28 20:00:00,Twitter,crypto_user_978,The 'Professional Investor' requirement is so elitist. What about retail? #HKWeb3,-0.17,-0.17
raw_0146,2025-05-10 05:00:00,Telegram,crypto_user_413,Checking out the new HashKey update. #HKWeb3 #Crypto,-0.09,-0.09
raw_0147,2025-05-15 03:00:00,LIHKG,crypto_user_216,HashKey vs OSL - which one has better liquidity?,0.09,0.09
raw_0148,2025-05-14 04:00:00,LIHKG,crypto_user_971,Bitcoin price holding steady at $100k. #BTC,-0.04,-0.04
raw_0149,2025-05-06 06:00:00,LIHKG,crypto_user_214,Anyone using HashKey for institutional custody? Looking for reviews.,-0.01,-0.01
raw_0150,2025-05-09 18:00:00,Twitter,crypto_user_743,Bitcoin price holding steady at $100k. #BTC,-0.02,-0.02
raw_0151,2025-05-30 07:00:00,Telegram,crypto_user_407,HK's regulatory framework is leading the way. HashKey is the gold standard.,0.22,0.22
raw_0152,2025-05-29 00:00:00,LIHKG,crypto_user_730,The safest place to hold BTC in HK. Compliance matters after FTX. #HKWeb3,0.18,0.18
raw_0153,2025-05-02 17:00:00,LIHKG,crypto_user_526,HK's regulatory framework is leading the way. HashKey is the gold standard.,0.21,0.21
raw_0154,2025-05-27 13:00:00,LIHKG,crypto_user_399,No USDT pairs? This is so restrictive for active traders.,-0.3,-0.3
raw_0155,2025-05-14 10:00:00,LIHKG,crypto_user_346,HashKey vs OSL - which one has better liquidity?,0.01,0.01
raw_0156,2025-05-22 23:00:00,Twitter,crypto_user_273,Checking out the new HashKey update. #HKWeb3 #Crypto,0.08,0.08
raw_0157,2025-05-04 16:00:00,Twitter,crypto_user_365,"Why is HashKey so boring? No memecoins, no leverage... just plain tokens. #Degen",-0.33,-0.33
raw_0158,2025-05-19 05:00:00,LIHKG,crypto_user_436,Checking out the new HashKey update. #HKWeb3 #Crypto,0.06,0.06
raw_0159,2025-05-11 06:00:00,LIHKG,crypto_user_570,HK's regulatory framework is leading the way. HashKey is the gold standard.,0.8,0.8
raw_0160,2025-05-04 17:00:00,Telegram,crypto_user_718,Strict KYC is such a pain. I miss the offshore days. #HashKey #Crypto,-0.7,-0.7
raw_0161,2025-05-11 00:00:00,Twitter,crypto_user_838,Excited for Bitcoin Pizza Day 2026! Can't wait to see what HashKey has planned.,0.51,0.51
raw_0162,2025-05-15 22:00:00,Twitter,crypto_user_850,HK's regulatory framework is leading the way. HashKey is the gold standard.,0.61,0.61
raw_0163,2025-05-25 15:00:00,Twitter,crypto_user_231,Anyone using HashKey for institutional custody? Looking for reviews.,0.04,0.04
raw_0164,2025-05-12 15:00:00,Telegram,crypto_user_640,Withdrawal took longer than expected. Still better than nothing I guess.,-0.23,-0.23
raw_0165,2025-05-05 17:00:00,Telegram,crypto_user_246,HashKey vs OSL - which one has better liquidity?,-0.01,-0.01
raw_0166,2025-05-22 21:00:00,Twitter,crypto_user_370,"Why is HashKey so boring? No memecoins, no leverage... just plain tokens. #Degen",-0.15,-0.15
