response_id,timestamp,residency,age,crypto_experience,portfolio_btc_eth,portfolio_stablecoins,portfolio_memecoins,portfolio_nfts,portfolio_none,info_telegram,info_twitter_x,info_youtube,info_lihkg,info_discord,info_xiaohongshu,investment_driver,platform_usage,factor_user_experience,factor_fee_structure,factor_asset_variety,factor_community_vibe,factor_regulatory_compliance,friction_point,word_reliable,word_safe,word_institutional,word_boring,word_premium,word_restrictive,word_elite,trust_score,engagement_score,pizza_day_awareness,incentive_preference,safe_punk_receptivity
R0071,2026-02-20 00:52:47,Hong Kong,20,1–3 years,1,1,0,0,0,1,0,0,0,1,1,Financial Independence,Licensed (HashKey/OSL),5,5,4,5,3,"Lack of ""Degen"" Culture",1,0,0,0,0,0,0,5,6,No,Trading Fee Rebates,Unlikely to change perception
R0072,2026-02-20 02:23:08,Hong Kong,21,1–3 years,0,0,0,0,1,1,1,0,1,0,0,Financial Independence,Offshore (Binance/OKX/Bybit),5,4,3,2,3,No USDT Pairs,1,1,0,0,0,1,1,7,2,No,Physical Pizza Party in Central,Neutral
R0073,2026-02-20 05:16:10,Hong Kong,22,Interested but haven't started,0,1,0,0,0,0,1,1,1,0,0,Financial Independence,Offshore (Binance/OKX/Bybit),3,3,5,3,2,"Lack of ""Degen"" Culture",0,0,0,0,0,0,0,6,3,No,Trading Fee Rebates,Likely would change perception
R0074,2026-02-20 07:08:46,Hong Kong,20,Less than 1 year,1,1,1,0,0,1,1,0,0,0,0,Financial Independence,Offshore (Binance/OKX/Bybit),5,4,3,5,3,"Lack of ""Degen"" Culture",0,1,1,1,0,0,0,4,3,No,Exclusive Airdrop of Trending Tokens,Definitely would change perception
R0075,2026-02-20 07:21:45,Hong Kong,28,3+ years,1,0,0,1,0,1,1,0,0,0,0,Technology,Licensed (HashKey/OSL),5,4,5,4,2,"Lack of ""Degen"" Culture",1,0,0,0,0,0,1,5,2,Heard of it,Exclusive Airdrop of Trending Tokens,Unlikely to change perception
R0076,2026-02-20 08:02:27,Hong Kong,23,Interested but haven't started,1,1,0,0,0,1,1,1,0,0,0,Speculation (Quick gains),Offshore (Binance/OKX/Bybit),4,4,5,3,2,Complex KYC,0,1,1,1,0,1,0,6,4,Heard of it,Trading Fee Rebates,Likely would change perception
R0077,2026-02-20 09:32:12,Hong Kong,20,Less than 1 year,1,0,0,0,0,1,1,0,1,0,0,Speculation (Quick gains),Licensed (HashKey/OSL),4,5,4,2,2,High Fees,1,0,1,0,0,0,0,6,4,No,Exclusive Airdrop of Trending Tokens,Definitely would not change perception
R0078,2026-02-20 13:28:41,Hong Kong,19,3+ years,1,1,1,1,0,0,0,0,1,0,0,Community & Narrative,Offshore (Binance/OKX/Bybit),5,2,4,5,3,High Fees,0,0,0,0,0,0,0,5,4,No,Physical Pizza Party in Central,Neutral
R0079,2026-02-20 15:36:07,Hong Kong,21,Less than 1 year,1,1,0,0,0,1,1,1,0,1,0,Speculation (Quick gains),Offshore (Binance/OKX/Bybit),3,4,3,4,5,"Lack of ""Degen"" Culture",0,0,1,0,0,0,0,4,1,Heard of it,Exclusive Airdrop of Trending Tokens,Neutral
R0080,2026-02-20 17:07:42,Hong Kong,19,1–3 years,1,1,0,0,0,1,1,0,1,0,0,Technology,Offshore (Binance/OKX/Bybit),4,3,5,3,5,"Lack of ""Degen"" Culture",0,1,0,1,0,1,0,4,3,Heard of it,Limited Edition NFT,Likely would change perception
R0081,2026-02-20 19:22:55,Hong Kong,33,1–3 years,1,1,0,0,0,0,1,0,0,0,1,Financial Independence,Offshore (Binance/OKX/Bybit),3,4,4,4,4,PI Restrictions,0,0,1,0,1,1,0,4,2,Heard of it,Trading Fee Rebates,Unlikely to change perception
R0082,2026-02-20 23:21:01,Hong Kong,19,Less than 1 year,1,1,0,0,0,0,1,1,1,1,0,Technology,Offshore (Binance/OKX/Bybit),4,5,4,3,3,"Lack of ""Degen"" Culture",0,0,1,1,0,0,0,6,2,"Yes, I celebrate it",Physical Pizza Party in Central,Neutral
R0083,2026-02-21 00:21:08,Hong Kong,22,Interested but haven't started,0,1,0,1,0,1,0,0,0,0,0,Speculation (Quick gains),Offshore (Binance/OKX/Bybit),3,5,3,4,5,"Lack of ""Degen"" Culture",1,0,0,0,1,0,0,3,4,"Yes, I celebrate it",Limited Edition NFT,Likely would change perception
R0084,2026-02-21 01:17:40,Hong Kong,33,3+ years,0,1,0,0,0,1,1,1,0,0,1,Financial Independence,Licensed (HashKey/OSL),4,4,3,3,4,"Lack of ""Degen"" Culture",0,0,0,0,0,0,0,6,3,No,Exclusive Airdrop of Trending Tokens,Neutral
R0085,2026-02-21 05:29:54,Hong Kong,35,3+ years,0,1,1,0,0,0,1,0,0,0,0,Speculation (Quick gains),OTC Stores,5,4,3,4,2,"Lack of ""Degen"" Culture",1,1,0,0,0,0,0,5,1,"Yes, I celebrate it",Exclusive Airdrop of Trending Tokens,Neutral
R0086,2026-02-21 05:59:04,Hong Kong,24,1–3 years,0,0,1,1,0,1,0,0,0,1,1,Financial Independence,Offshore (Binance/OKX/Bybit),4,4,3,3,4,Complex KYC,0,1,1,1,0,0,0,6,4,Heard of it,Trading Fee Rebates,Likely would change perception
R0087,2026-02-21 06:54:37,Hong Kong,34,3+ years,1,1,0,0,0,1,0,1,1,0,0,Speculation (Quick gains),OTC Stores,4,5,3,5,3,"Lack of ""Degen"" Culture",0,1,1,1,0,0,0,7,1,Heard of it,Physical Pizza Party in Central,Neutral
R0088,2026-02-21 06:56:07,Hong Kong,28,1–3 years,1,0,1,0,0,0,1,0,0,0,1,Community & Narrative,Offshore (Binance/OKX/Bybit),4,4,3,2,4,High Fees,1,0,0,1,0,0,0,6,2,Heard of it,Physical Pizza Party in Central,Likely would change perception
R0089,2026-02-21 14:27:08,Hong Kong,19,1–3 years,1,0,0,0,0,0,1,0,0,0,1,Financial Independence,OTC Stores,4,5,3,4,4,No USDT Pairs,0,0,1,1,1,0,0,3,3,No,Exclusive Airdrop of Trending Tokens,Definitely would not change perception
R0090,2026-02-21 15:25:41,Hong Kong,18,Less than 1 year,1,1,1,0,0,1,1,0,1,1,1,Financial Independence,Offshore (Binance/OKX/Bybit),4,5,5,5,3,"Lack of ""Degen"" Culture",1,1,1,1,0,0,0,4,4,Heard of it,Exclusive Airdrop of Trending Tokens,Likely would change perception
R0091,2026-02-21 22:27:20,Hong Kong,20,3+ years,1,0,0,1,0,1,0,1,0,0,0,Financial Independence,Offshore (Binance/OKX/Bybit),5,5,2,3,2,"Lack of ""Degen"" Culture",0,1,1,0,1,1,1,6,2,"Yes, I celebrate it",Trading Fee Rebates,Likely would change perception
R0092,2026-02-21 23:32:09,Hong Kong,19,1–3 years,0,0,0,1,0,1,1,0,0,1,0,Community & Narrative,Offshore (Binance/OKX/Bybit),4,3,4,2,5,"Lack of ""Degen"" Culture",1,0,1,0,1,0,0,4,5,Heard of it,Limited Edition NFT,Likely would change perception
R0093,2026-02-22 05:40:53,Hong Kong,20,1–3 years,0,0,1,1,0,1,1,0,1,0,0,Financial Independence,Offshore (Binance/OKX/Bybit),4,4,4,4,3,"Lack of ""Degen"" Culture",0,1,1,1,0,0,1,6,4,"Yes, I celebrate it",Limited Edition NFT,Neutral
R0094,2026-02-22 05:43:05,Hong Kong,34,1–3 years,1,1,1,0,0,1,1,0,0,1,0,Financial Independence,OTC Stores,5,3,4,3,2,"Lack of ""Degen"" Culture",1,0,0,0,0,0,0,7,2,"Yes, I celebrate it",Exclusive Airdrop of Trending Tokens,Neutral
R0095,2026-02-22 06:22:35,Hong Kong,23,1–3 years,0,0,0,1,0,0,1,0,0,0,0,Speculation (Quick gains),Offshore (Binance/OKX/Bybit),3,4,4,3,1,No USDT Pairs,0,0,0,1,0,0,0,6,3,No,Exclusive Airdrop of Trending Tokens,Unlikely to change perception
R0096,2026-02-22 11:08:40,Hong Kong,25,1–3 years,1,0,0,0,0,1,1,0,0,0,0,Financial Independence,Offshore (Binance/OKX/Bybit),5,3,5,4,2,High Fees,0,1,0,1,0,0,0,5,3,Heard of it,Exclusive Airdrop of Trending Tokens,Neutral
R0097,2026-02-22 12:08:10,Hong Kong,24,Less than 1 year,1,0,1,0,0,0,1,1,0,1,1,Speculation (Quick gains),DEX (Uniswap/Jupiter),5,4,4,4,1,Complex KYC,1,1,0,1,0,0,0,6,3,Heard of it,Exclusive Airdrop of Trending Tokens,Likely would change perception
R0098,2026-02-22 12:40:37,Hong Kong,33,1–3 years,1,1,1,0,0,1,0,0,0,0,0,Speculation (Quick gains),Offshore (Binance/OKX/Bybit),4,3,5,2,5,"Lack of ""Degen"" Culture",1,1,0,0,0,0,0,6,1,Heard of it,Trading Fee Rebates,Unlikely to change perception
R0099,2026-02-22 14:51:17,Hong Kong,27,Less than 1 year,1,0,1,0,0,0,1,0,1,0,0,Speculation (Quick gains),Offshore (Binance/OKX/Bybit),5,4,5,2,4,Complex KYC,0,1,0,0,0,0,0,6,3,Heard of it,Physical Pizza Party in Central,Neutral
R0100,2026-02-22 15:54:55,Hong Kong,24,3+ years,0,1,0,0,0,0,1,0,0,0,1,Speculation (Quick gains),DEX (Uniswap/Jupiter),5,4,5,3,2,High Fees,0,0,0,0,1,0,1,6,2,No,Exclusive Airdrop of Trending Tokens,Definitely would change perception
R0101,2026-02-22 18:40:17,Hong Kong,26,3+ years,0,0,1,0,0,1,1,0,0,0,0,Speculation (Quick gains),DEX (Uniswap/Jupiter),4,4,5,4,5,Complex KYC,0,0,1,1,0,0,0,5,2,Heard of it,Trading Fee Rebates,Neutral
R0102,2026-02-22 19:27:47,Hong Kong,33,3+ years,1,1,0,0,0,1,0,1,1,0,0,Speculation (Quick gains),Offshore (Binance/OKX/Bybit),5,5,4,4,3,"Lack of ""Degen"" Culture",0,0,0,1,0,0,0,4,2,Heard of it,Exclusive Airdrop of Trending Tokens,Neutral
R0103,2026-02-22 22:02:11,Hong Kong,22,1–3 years,0,0,0,0,1,1,1,0,0,0,1,Technology,Offshore (Binance/OKX/Bybit),3,5,4,2,1,High Fees,1,1,0,0,0,0,1,5,3,Heard of it,Exclusive Airdrop of Trending Tokens,Likely would change perception
R0104,2026-02-22 23:14:11,Hong Kong,22,1–3 years,1,1,0,0,0,1,1,1,0,0,0,Speculation (Quick gains),Licensed (HashKey/OSL),2,5,4,4,3,PI Restrictions,0,1,0,0,0,0,0,4,2,"Yes, I celebrate it",Exclusive Airdrop of Trending Tokens,Likely would change perception
R0105,2026-02-22 23:41:38,Hong Kong,23,1–3 years,1,1,1,0,0,1,1,1,0,0,0,Financial Independence,DEX (Uniswap/Jupiter),4,4,3,2,4,No USDT Pairs,0,0,1,1,0,0,0,6,2,No,Trading Fee Rebates,Likely would change perception
R0106,2026-02-23 01:28:19,Hong Kong,31,1–3 years,1,0,0,0,0,1,1,0,1,1,0,Technology,Licensed (HashKey/OSL),4,5,5,4,4,"Lack of ""Degen"" Culture",0,0,0,1,0,0,0,4,4,Heard of it,Exclusive Airdrop of Trending Tokens,Neutral
R0107,2026-02-23 07:35:04,Hong Kong,23,1–3 years,0,1,1,0,0,1,0,0,0,0,0,Speculation (Quick gains),DEX (Uniswap/Jupiter),4,5,4,4,4,High Fees,0,0,0,1,1,0,1,4,5,No,Exclusive Airdrop of Trending Tokens,Likely would change perception
R0108,2026-02-23 10:21:08,Hong Kong,28,1–3 years,0,0,0,0,1,1,1,1,0,0,0,Speculation (Quick gains),Offshore (Binance/OKX/Bybit),4,5,4,3,4,Complex KYC,1,0,1,0,1,0,0,7,1,No,Trading Fee Rebates,Neutral
R0109,2026-02-23 11:31:25,Hong Kong,18,3+ years,1,1,1,0,0,1,1,0,0,0,1,Speculation (Quick gains),Offshore (Binance/OKX/Bybit),4,4,4,3,2,"Lack of ""Degen"" Culture",1,1,0,0,0,0,0,5,2,Heard of it,Exclusive Airdrop of Trending Tokens,Definitely would change perception
R0110,2026-02-23 13:07:24,Hong Kong,20,1–3 years,1,0,1,1,0,0,1,0,1,0,0,Financial Independence,Offshore (Binance/OKX/Bybit),4,4,4,2,2,"Lack of ""Degen"" Culture",1,1,1,1,0,0,1,6,2,"Yes, I celebrate it",Trading Fee Rebates,Definitely would change perception
R0111,2026-02-23 16:22:08,Hong Kong,22,1–3 years,1,0,0,0,0,1,0,1,1,0,0,Financial Independence,DEX (Uniswap/Jupiter),4,4,4,4,5,"Lack of ""Degen"" Culture",0,0,0,0,0,1,0,4,2,No,Trading Fee Rebates,Definitely would change perception
R0112,2026-02-23 16:36:32,Hong Kong,19,1–3 years,1,1,0,1,0,1,1,0,1,1,0,Financial Independence,DEX (Uniswap/Jupiter),5,5,3,4,2,Complex KYC,1,1,1,0,0,0,0,4,4,"Yes, I celebrate it",Trading Fee Rebates,Definitely would change perception
R0113,2026-02-23 18:29:43,Hong Kong,22,Less than 1 year,1,0,0,0,0,1,1,1,1,0,1,Financial Independence,Offshore (Binance/OKX/Bybit),3,3,4,3,2,"Lack of ""Degen"" Culture",0,1,1,0,1,0,0,2,3,"Yes, I celebrate it",Physical Pizza Party in Central,Neutral
R0114,2026-02-23 18:34:34,Hong Kong,33,3+ years,0,1,0,0,0,1,1,1,1,1,0,Financial Independence,Offshore (Binance/OKX/Bybit),4,4,3,3,4,"Lack of ""Degen"" Culture",1,0,0,1,0,0,1,6,4,No,Limited Edition NFT,Neutral
R0115,2026-02-23 20:56:45,Hong Kong,31,Interested but haven't started,0,1,0,1,0,0,0,1,1,1,0,Technology,Offshore (Binance/OKX/Bybit),4,4,3,5,4,Complex KYC,0,1,1,1,0,0,0,5,2,No,Limited Edition NFT,Likely would change perception
R0116,2026-02-23 22:21:58,Hong Kong,29,3+ years,0,0,0,1,0,0,1,0,0,0,0,Speculation (Quick gains),Offshore (Binance/OKX/Bybit),4,3,4,4,5,Complex KYC,0,0,0,0,0,0,1,5,4,No,Trading Fee Rebates,Likely would change perception
R0117,2026-02-24 01:29:12,Hong Kong,29,1–3 years,1,1,0,0,0,0,1,0,1,0,1,Financial Independence,Offshore (Binance/OKX/Bybit),4,5,4,3,2,Complex KYC,1,1,1,1,0,0,0,4,2,No,Physical Pizza Party in Central,Likely would change perception
R0118,2026-02-24 01:51:23,Hong Kong,19,Interested but haven't started,1,0,0,0,0,1,1,1,1,1,0,Speculation (Quick gains),Offshore (Binance/OKX/Bybit),4,5,4,2,5,Complex KYC,1,1,0,0,0,1,0,6,6,Heard of it,Trading Fee Rebates,Likely would change perception
R0119,2026-02-24 02:03:35,Hong Kong,22,1–3 years,0,0,1,0,0,1,1,1,0,1,0,Speculation (Quick gains),Offshore (Binance/OKX/Bybit),4,2,3,2,5,"Lack of ""Degen"" Culture",0,0,0,1,0,0,0,5,2,Heard of it,Trading Fee Rebates,Unlikely to change perception
R0120,2026-02-24 05:13:44,Hong Kong,32,3+ years,1,0,0,0,0,1,1,0,0,0,0,Technology,Offshore (Binance/OKX/Bybit),3,5,3,3,2,High Fees,0,0,0,0,0,0,0,7,3,Heard of it,Trading Fee Rebates,Definitely would not change perception
R0121,2026-02-24 06:29:13,Hong Kong,22,1–3 years,1,1,1,0,0,1,1,1,0,1,0,Financial Independence,Offshore (Binance/OKX/Bybit),5,5,4,3,2,Complex KYC,0,1,0,0,0,1,0,5,1,Heard of it,Physical Pizza Party in Central,Neutral
R0122,2026-02-24 07:41:36,Hong Kong,25,1–3 years,1,1,1,0,0,0,1,0,0,1,1,Technology,Offshore (Binance/OKX/Bybit),3,3,5,4,3,High Fees,0,0,0,0,1,1,1,7,3,Heard of it,Trading Fee Rebates,Likely would change perception
R0123,2026-02-24 15:38:36,Hong Kong,35,1–3 years,0,0,1,0,0,0,1,0,1,0,0,Financial Independence,Offshore (Binance/OKX/Bybit),3,3,3,4,3,No USDT Pairs,1,1,0,0,0,0,0,6,2,Heard of it,Physical Pizza Party in Central,Neutral
R0124,2026-02-24 18:01:21,Hong Kong,18,1–3 years,1,1,0,1,0,1,0,1,0,0,0,Technology,Offshore (Binance/OKX/Bybit),3,4,5,4,4,High Fees,1,0,1,1,0,0,0,5,6,Heard of it,Trading Fee Rebates,Neutral
R0125,2026-02-24 22:06:28,Hong Kong,22,1–3 years,1,0,0,0,0,0,0,0,0,1,1,Speculation (Quick gains),Licensed (HashKey/OSL),4,5,4,3,3,"Lack of ""Degen"" Culture",1,0,1,0,1,0,0,7,3,No,Exclusive Airdrop of Trending Tokens,Likely would change perception
R0126,2026-02-24 23:07:20,Hong Kong,21,1–3 years,1,0,0,1,0,1,0,0,1,0,0,Financial Independence,Offshore (Binance/OKX/Bybit),5,3,4,2,4,"Lack of ""Degen"" Culture",1,0,1,1,1,0,0,5,2,No,Physical Pizza Party in Central,Likely would change perception
R0127,2026-02-25 05:47:38,Hong Kong,23,1–3 years,1,1,0,0,0,1,0,1,0,0,0,Speculation (Quick gains),DEX (Uniswap/Jupiter),5,4,4,3,1,High Fees,1,0,1,0,1,0,0,7,4,"Yes, I celebrate it",Physical Pizza Party in Central,Definitely would change perception
R0128,2026-02-25 07:30:33,Hong Kong,31,1–3 years,0,1,1,0,0,1,1,0,1,0,0,Speculation (Quick gains),OTC Stores,3,5,5,1,2,"Lack of ""Degen"" Culture",1,1,1,0,0,0,0,7,2,Heard of it,Trading Fee Rebates,Unlikely to change perception
R0129,2026-02-25 08:17:36,Hong Kong,18,3+ years,1,1,0,0,0,1,0,1,0,0,0,Financial Independence,OTC Stores,4,5,4,3,5,Complex KYC,1,1,0,0,0,0,0,6,1,No,Exclusive Airdrop of Trending Tokens,Neutral
R0130,2026-02-25 09:03:25,Hong Kong,24,Less than 1 year,1,1,0,0,0,1,1,0,1,0,0,Community & Narrative,Licensed (HashKey/OSL),5,4,3,5,2,"Lack of ""Degen"" Culture",1,0,1,0,0,0,0,6,2,Heard of it,Physical Pizza Party in Central,Neutral
R0131,2026-02-25 12:44:33,Hong Kong,28,1–3 years,1,0,0,0,0,1,1,1,0,0,1,Speculation (Quick gains),Offshore (Binance/OKX/Bybit),4,3,4,4,4,Complex KYC,0,0,1,0,0,1,0,5,2,No,Exclusive Airdrop of Trending Tokens,Neutral
R0132,2026-02-25 13:05:49,Hong Kong,24,1–3 years,0,0,1,1,0,1,1,0,1,0,0,Technology,Offshore (Binance/OKX/Bybit),2,4,4,3,3,"Lack of ""Degen"" Culture",1,0,0,0,0,1,0,6,3,No,Exclusive Airdrop of Trending Tokens,Unlikely to change perception
R0133,2026-02-25 13:38:07,Hong Kong,20,3+ years,0,0,1,0,0,1,1,1,1,1,0,Technology,Offshore (Binance/OKX/Bybit),4,3,4,4,2,"Lack of ""Degen"" Culture",0,1,0,1,0,0,0,6,2,Heard of it,Trading Fee Rebates,Neutral
R0134,2026-02-25 13:48:11,Hong Kong,19,Less than 1 year,1,0,1,0,0,1,1,1,0,1,0,Speculation (Quick gains),Offshore (Binance/OKX/Bybit),4,4,2,3,2,"Lack of ""Degen"" Culture",1,0,0,0,0,0,0,6,1,No,Exclusive Airdrop of Trending Tokens,Neutral
R0135,2026-02-25 14:43:28,Hong Kong,24,3+ years,1,1,0,1,0,1,1,1,0,1,0,Financial Independence,Offshore (Binance/OKX/Bybit),4,4,4,3,4,Complex KYC,1,1,1,0,0,0,0,5,3,Heard of it,Trading Fee Rebates,Likely would change perception
R0136,2026-02-25 16:23:07,Hong Kong,26,1–3 years,1,1,0,1,0,1,1,1,1,0,0,Financial Independence,Offshore (Binance/OKX/Bybit),5,4,4,3,3,Complex KYC,0,1,1,0,0,1,0,4,3,Heard of it,Physical Pizza Party in Central,Definitely would change perception
R0137,2026-02-25 20:21:00,Hong Kong,23,3+ years,0,0,1,1,0,1,0,1,0,0,0,Financial Independence,Offshore (Binance/OKX/Bybit),5,4,4,5,2,No USDT Pairs,0,1,0,1,0,0,0,5,4,"Yes, I celebrate it",Physical Pizza Party in Central,Likely would change perception
R0138,2026-02-25 20:30:41,Hong Kong,21,1–3 years,0,0,0,0,1,0,1,1,0,0,0,Financial Independence,Licensed (HashKey/OSL),5,4,4,4,4,"Lack of ""Degen"" Culture",0,0,0,1,0,0,0,6,3,No,Exclusive Airdrop of Trending Tokens,Neutral
R0139,2026-02-25 22:01:49,Hong Kong,20,1–3 years,0,0,1,0,0,1,1,1,0,0,0,Speculation (Quick gains),Licensed (HashKey/OSL),5,4,4,3,5,"Lack of ""Degen"" Culture",0,1,0,1,1,0,0,5,2,Heard of it,Limited Edition NFT,Definitely would not change perception
R0140,2026-02-25 23:06:26,Hong Kong,22,Interested but haven't started,1,0,0,0,0,1,1,1,0,0,0,Speculation (Quick gains),DEX (Uniswap/Jupiter),4,5,3,4,3,High Fees,0,1,1,0,0,0,0,7,2,Heard of it,Trading Fee Rebates,Neutral
R0141,2026-02-26 01:24:55,Hong Kong,20,Less than 1 year,1,0,0,0,0,1,1,0,0,0,0,Speculation (Quick gains),OTC Stores,5,5,3,3,5,No USDT Pairs,1,0,0,0,0,0,0,4,4,"Yes, I celebrate it",Limited Edition NFT,Definitely would not change perception
R0142,2026-02-26 06:00:26,Hong Kong,30,Less than 1 year,0,0,0,0,1,1,1,0,0,1,0,Financial Independence,Offshore (Binance/OKX/Bybit),4,3,2,4,4,High Fees,1,1,1,0,0,0,0,4,5,No,Limited Edition NFT,Neutral
R0143,2026-02-26 07:02:03,Hong Kong,25,3+ years,1,0,0,0,0,1,1,0,0,1,0,Financial Independence,Offshore (Binance/OKX/Bybit),5,3,4,3,3,"Lack of ""Degen"" Culture",1,0,0,0,1,0,0,5,1,No,Exclusive Airdrop of Trending Tokens,Unlikely to change perception
